customer_id,name,days_since_last_activity,open_tickets,total_tickets,total_revenue,opportunities_won,opportunities_lost,email_engagement
CH001,Website Desktop 🖥️,2,1,8,450000,1200,150,high
CH002,App Móvil 📱,1,0,3,680000,1850,80,high
CH003,Instagram Shopping 📸,3,2,12,320000,890,220,medium
CH004,WhatsApp Business 💬,1,0,5,290000,750,45,high
CH005,Email Marketing 📧,45,8,25,85000,180,380,low
CH006,Google Ads 🎯,7,3,15,540000,1420,290,medium
CH007,TikTok Shop 🎵,60,12,30,42000,95,520,very_low
CH008,Facebook Ads 📘,15,4,18,180000,480,310,low
CH009,Tienda Física con QR 🏪,4,1,6,920000,2100,120,high
CH010,Marketplace (MercadoLibre) 🛒,5,2,9,410000,1050,180,medium
CH011,LinkedIn Ads 💼,90,15,35,28000,45,680,very_low
CH012,YouTube Ads 📺,25,6,20,125000,310,420,low
CH013,SMS Marketing 📲,30,7,22,95000,220,380,low
CH014,Chatbot Web 🤖,2,1,7,210000,580,95,high
CH015,Pinterest Shopping 📌,120,18,40,15000,32,890,very_low
CH016,Google My Business 📍,8,2,11,380000,920,180,medium
CH017,Email Carrito Abandonado 🛒✉️,3,1,9,520000,1380,140,high
CH018,Twitter/X Ads 🐦,50,9,28,68000,165,520,low
CH019,Spotify Ads 🎧,35,5,19,145000,350,440,low
CH020,Stories de Instagram 📸⚡,2,0,5,280000,720,90,high
